"SR_3M	SR_6M	SR_9M	SR_1Y	SR_2Y	SR_3Y	SR_4Y	SR_5Y	SR_6Y	SR_7Y	SR_8Y	SR_9Y	SR_10Y	SR_11Y	SR_12Y	SR_13Y	SR_14Y	SR_15Y	SR_16Y	SR_17Y	SR_18Y	SR_19Y	SR_20Y	SR_21Y	SR_22Y	SR_23Y	SR_24Y	SR_25Y	SR_26Y	SR_27Y	SR_28Y	SR_29Y	SR_30Y"
"2004-09-06	2.00166453155179	2.102527884309075	2.201078181197778	2.297177455845652	2.655493572001728	2.9711613621793522	3.2459990909934797	3.483732057943961	3.688722893296243	3.865320225215381	4.0175503859701385	4.148995219121547	4.262767322619997	4.361533268248068	4.447557723833089	4.522754086700282	4.588734341807854	4.646854774245137	4.698256271692328	4.743899040715609	4.784592085082835	4.821018012619729	4.853753794889721	4.883288082095038	4.910035618271664	4.934349232561374	4.956529812987734	4.9768346052784995	4.995484122995165	5.012667906927632	5.0285493309199625	5.04326961719192	5.056951195894824"
"2004-09-07	2.0090886030913024	2.1185269346302498	2.2238005795517903	2.325057870657437	2.692793122444781	3.0073370084104076	3.276535948197917	3.5072318598478254	3.7053058536844885	3.875766935686193	4.022856367143182	4.150152244416682	4.26066676103177	4.3569330064506415	4.441080521299776	4.5149000359121425	4.579898374951724	4.63734470984608	4.688309351867029	4.733696197843471	4.774269820925748	4.810678069211707	4.84347091001537	4.873116143854216	4.900012512281722	4.924500637664196	4.946872159953334	4.967377374031933	4.986231619782449	5.003620634174408	5.019705039049653	5.0346241087306645	5.048498937078718"
"2004-09-08	2.0146127195933627	2.1290003432365254	2.238442085875593	2.3431897837815585	2.719751526087422	3.037740557413792	3.3074494017861817	3.537116730067986	3.733412267799617	3.901783098735889	4.046707911685306	4.171888432251731	4.280396753520563	4.374790812672345	4.457206236299533	4.529430231526004	4.592961556652288	4.649059518445218	4.698784205141707	4.743029648400303	4.78255123642462	4.817988426302707	4.849883596003242	4.878697715989269	4.904823394240667	4.928595747949864	4.950301474234421	4.970186426567576	4.988461950073352	5.005310184956484	5.020888511279027	5.035333278594805	5.048762939447304"
"2004-09-09	2.010833137778715	2.1123363860039417	2.210788745778848	2.3061933109660555	2.657901047471514	2.9642554499330336	3.22966573752708	3.4589978933657117	3.657002483405492	3.8280461695023367	3.976009195871804	4.104270322933898	4.215734988748674	4.3128822545163645	4.397817406692536	4.472323495552984	4.537908662524751	4.595848054537043	4.64722014471089	4.692937780666911	4.733774497900755	4.770386699156986	4.803332286613539	4.833086283649082	4.860053919574487	4.884581585714286	4.90696601032619	4.927461945441224	4.946288611436376	4.963635104780017	4.979664940284059	4.994519870583631	5.008323101665854"
"2004-09-10	2.0062813293527224	2.0952459336438167	2.1833424888667503	2.2702570537576996	2.601720276932586	2.9014599515292088	3.1669818218899763	3.3994404897263353	3.6016479048740493	3.7770042210789097	3.9289466827953885	4.0606854746933525	4.175095275424142	4.274688575589411	4.361629602776056	4.437766344316362	4.5046686865427255	4.563666570880479	4.6158853030604545	4.662276891555676	4.703647193085993	4.740679081602337	4.773952044818765	4.803958668245083	4.831118456849194	4.855789404937506	4.878277674671987	4.898845692535599	4.917718925565967	4.935091557105637	4.9511312455587335	4.965983118909314	4.979773131968461"
"2004-09-13	2.010257794093947	2.11081622077135	2.2081751609931435	2.3023808262819228	2.648866516765416	2.9502510894117346	3.211549115329013	3.437785117806357	3.6336586174962147	3.8034002118381713	3.9507318948023613	4.078881563168596	4.190623270463905	4.288327429533269	4.3740124941276015	4.449393849084984	4.51592800222502	4.5748514657153345	4.627214393023733	4.673909365646961	4.715695857006293	4.7532209292521745	4.78703669377432	4.8176150169828125	4.845359895317209	4.870617865815556	4.8936867650105	4.914823101110458	4.934248262783281	4.952153752148651	4.968705599263881	4.984048089810374	4.9983069162037035"
"2004-09-14	2.0116327631362982	2.1074363537501006	2.200930834365633	2.2920340481013755	2.6317065256902747	2.931780633720429	3.1943615734981052	3.42289035830678	3.6212417375623103	3.7932484186277824	3.9424687657449904	4.072090727893169	4.184909580971627	4.283343568813234	4.369467112393518	4.445050360746371	4.511599125706191	4.570392250995234	4.622515150398116	4.668889164354055	4.71029685652409	4.747403593921387	4.780775838091081	4.810896585326698	4.838178367910022	4.862974186481614	4.885586697073534	4.90627593083589	4.925265782784775	4.942749469030306	4.958894120059855	4.973844650461556	4.9877270224941315"
"2004-09-15	2.0155634631476844	2.1110931977284304	2.204312767522024	2.295142490927753	2.6337677059578026	2.932908212428068	3.194681751229963	3.4225188318857804	3.620276502928754	3.7917695276147643	3.9405406990137015	4.069765387495645	4.182229073075899	4.280342503109063	4.366174390703753	4.441490521776152	4.507793337172435	4.566359035290017	4.618270914894729	4.6644485911118085	4.705673191846302	4.742608866875676	4.7758210285819604	4.8057917561303345	4.832932770699205	4.857596348809865	4.8800844951729285	4.900656651630684	4.919536177527449	4.9369158002841145	4.952962203282261	4.9678198911176725	4.9816144494021115"
"2004-09-16	2.0217473705025393	2.119161378137515	2.2138520547638874	2.305801348619046	2.646353798765022	2.9449675138986766	3.2051121122068276	3.4309384347608303	3.626669272495071	3.7962896525954455	3.9434077474843927	4.071210381707297	4.182468745629011	4.279568755439087	4.364551643036225	4.439156901776554	4.504863511864916	4.5629275380551855	4.614415400945175	4.660232770914535	4.701149358228735	4.737820014517778	4.770802602181686	4.800573077134882	4.827538194031066	4.85204619698449	4.874395811050215	4.894843804511084	4.913611351212135	4.930889386390464	4.946843118612687	4.961615834174582	4.975332108129296"
"2004-09-17	2.0213310389777406	2.1094909094079437	2.196312760216045	2.2816074618657485	2.6049302666080933	2.8964792670359416	3.1554061349476448	3.3832882956860693	3.582823029994035	3.7570979540625857	3.9091993470593014	4.04201595346331	4.158153751422427	4.259911902240199	4.349290859060314	4.428015969236906	4.497567211814195	4.559209995031556	4.614024419386444	4.662931823196694	4.706718209556491	4.746054568697459	4.781514314140553	4.813588136847347	4.842696602835809	4.869200807653957	4.893411373474991	4.915596041244315	4.935986076521815	4.954781676029637	4.972156533560029	4.988261699134726	5.0032288440341555"
