"IF_3M	IF_6M	IF_9M	IF_1Y	IF_2Y	IF_3Y	IF_4Y	IF_5Y	IF_6Y	IF_7Y	IF_8Y	IF_9Y	IF_10Y	IF_11Y	IF_12Y	IF_13Y	IF_14Y	IF_15Y	IF_16Y	IF_17Y	IF_18Y	IF_19Y	IF_20Y	IF_21Y	IF_22Y	IF_23Y	IF_24Y	IF_25Y	IF_26Y	IF_27Y	IF_28Y	IF_29Y	IF_30Y"
"2004-09-06	2.1036278417180347	2.3019943485977072	2.4931116097135195	2.6765269563793326	3.3293768702874966	3.8553650296842488	4.268326529982961	4.586839116251594	4.82926177627921	5.011764417529319	5.147789224814603	5.248148388829541	5.321364703805439	5.374069383301608	5.411376539957849	5.437205165960134	5.4545432732245125	5.465658875114005	5.472265861565664	5.475653172763273	5.476784811164692	5.476376999789703	5.474957571838037	5.4729116063742875	5.470516442759736	5.467968502764021	5.465403797800219	5.4629135707318115	5.460556191123711	5.458366167929711	5.456360947096045	5.454546009911297	5.452918670752539"
"2004-09-07	2.1206592655722587	2.3331890871635466	2.5335234110582627	2.722249638103703	3.372290147648076	3.8792800927109825	4.272094569627864	4.574635902816823	4.806307291271191	4.982656227340885	5.116028710186524	5.216164407082847	5.29070837064976	5.345636951371654	5.38560527028608	5.414227073867936	5.434298212721059	5.447974061307127	5.456909788483495	5.462370914567285	5.465320234191191	5.466486011856055	5.4664153785489225	5.465516057796795	5.464088903778498	5.4623532170132485	5.460466391123525	5.458539116911619	5.456647110578881	5.454840127561653	5.45314886104902	5.451590195902533	5.450171187345605"
"2004-09-08	2.1315614393046585	2.3527430056126812	2.559604396401949	2.753112266126048	3.4104683047694975	3.9147117451887192	4.301286047221525	4.597023984768655	4.822492076368945	4.993584726235273	5.122647846231026	5.219296365380622	5.291024639359733	5.343671311620988	5.381778361774075	5.40887106566182	5.427677581538708	5.440301750909114	5.44835927857241	5.453085068794261	5.45541776356711	5.456066233216401	5.455561775941936	5.45429900779437	5.452567813244977	5.450578241071793	5.448479843425331	5.4463766471534285	5.444338699945921	5.44241093717288	5.440619958540599	5.438979178948922	5.437492718827624"
"2004-09-09	2.113858233676741	2.3122939365443806	2.5015682846509053	2.6817367079925813	3.3146567514753724	3.8195058692653094	4.215894108895614	4.523513607056567	4.760014555128046	4.940338368463648	5.076727352181074	5.179013534788975	5.254992033062431	5.310789520038759	5.351191555989522	5.37991836610118	5.3998503573524035	5.413209296931681	5.421702305156809	5.4266355314183805	5.429003518012016	5.429559257088188	5.428869003516802	5.427355091670827	5.4253293302773695	5.423019005688787	5.420587091090126	5.4181479172179445	5.4157792910433855	5.413531837382248	5.411436172234436	5.409508386055091	5.4077542124411675"
"2004-09-10	2.0955585850575424	2.272422549697867	2.446000413552965	2.6151937862195913	3.234651913541877	3.749426018780875	4.161431483934747	4.483392902377466	4.730846121290403	4.918633589062659	5.059600163673924	5.164313749003105	5.241222309966079	5.2969630263503955	5.336693947956125	5.364394988963239	5.38312142248852	5.395209165445874	5.40243742547944	5.406155983666471	5.407384125451082	5.406887261665298	5.405236169090598	5.4028527576160155	5.400045413065616	5.397036276853692	5.393982285257868	5.3909913749834795	5.388134941827612	5.385457393685414	5.382983450383619	5.380723697360041	5.3786787877501485"
"2004-09-13	2.1124288038905843	2.3087198247322718	2.4954965998404033	2.672967635274783	3.2951192162434206	3.7917187775724224	4.183347063471955	4.4893249828112465	4.726526660480585	4.909109999465765	5.048668703803905	5.154550062680049	5.234212174413356	5.293562624545265	5.337255748237178	5.368942899092841	5.391478058425204	5.407084230903298	5.4174868324626955	5.424019966831657	5.427710760734101	5.4293461024044625	5.429525346518281	5.428701865786209	5.427215757509599	5.425319545691522	5.423198342138509	5.420985628284336	5.418775579195204	5.416632660298403	5.41459907582058	5.412700527638882	5.410950647773504"
"2004-09-14	2.1085563072913196	2.2967664700040293	2.4778616817717856	2.651581089447442	3.2711053110613735	3.774258043687863	4.174057204953277	4.486825194006171	4.728590960906787	4.913596167965625	5.053849807057716	5.15917252916505	5.237442593169917	5.294900695375002	5.336447525820358	5.3659071636521105	5.386248736740553	5.399767627477213	5.408231039043808	5.412993674271734	5.415089043900234	5.415301230357697	5.414221132814161	5.412290462583207	5.4098361022722	5.407096899065633	5.404244524109599	5.401399681107712	5.398644671878865	5.396033110170876	5.393597405152641	5.391354502721253	5.389310268117202"
"2004-09-15	2.1122146595006575	2.299873622021145	2.480419920163775	2.6536011544000955	3.271175087773588	3.772775826823477	4.171389920791242	4.483255673882799	4.7243206455691675	4.90876379445973	5.048550746452714	5.153474014301078	5.23139429989012	5.288541539233118	5.329809775921885	5.359018809370525	5.379134787976088	5.392450801106781	5.400732113479736	5.405331677908611	5.407281369307846	5.407363721552724	5.4061681675269915	5.404135037788685	5.401589924503993	5.3987704781222146	5.395847267849924	5.392939989075737	5.3901300259177605	5.3874701607010955	5.3849920522616275	5.382711971598646	5.38063517866109"
"2004-09-16	2.12051227387482	2.3112751430357688	2.4938165916411563	2.668108893821949	3.2845667600509008	3.7811189822100273	4.17420614040323	4.481377458902488	4.718910394929657	4.900907683945509	5.039124532435554	5.143128352947437	5.220585640925831	5.277574671542248	5.318877910199053	5.348236464996088	5.368562888410046	5.382114973414776	5.3906356091092125	5.395464264507988	5.397625309880725	5.397897700062626	5.396869794308625	5.394982388710035	5.3925624328894175	5.389849400376793	5.387015874043217	5.384183580995704	5.381435851376258	5.378827269721206	5.376391124985602	5.374145137042465	5.37209583621485"
"2004-09-17	2.1100864623243614	2.284542415707923	2.4545723287350065	2.6195179948643017	3.2206745105609844	3.7218422205199677	4.12747218526866	4.449333147802666	4.701110855805605	4.895899962585919	5.04519574283249	5.15863090505393	5.244056637442571	5.307760983420689	5.354722344575959	5.388851264604263	5.413202056343473	5.430149760729815	5.441534238792346	5.448775629985565	5.452965958758522	5.454941379188834	5.455338941611289	5.454641098014637	5.453210544973746	5.451317473376209	5.4491608590120615	5.446885078788087	5.444592860727728	5.442355358502409	5.440219970945331	5.438216393754199	5.436361286289847"
